Date,Open,High,Low,Close,Adj Close,Volume
2018-08-23,112.558998,114.551003,105.586998,109.570999,109.570999,66790431
2018-08-24,110.567001,118.536003,108.574997,114.551003,114.551003,104127372
2018-08-27,116.543999,137.462006,114.551003,137.462006,137.462006,355542473
2018-08-28,139.453995,141.445999,124.512001,125.509003,125.509003,257411993
2018-08-29,126.504997,130.488998,123.515999,126.504997,126.504997,69619567
2018-08-30,127.500999,128.496994,118.536003,119.531998,119.531998,55141893
2018-08-31,115.547997,120.528000,113.555000,116.543999,116.543999,37909675
2018-09-03,115.547997,127.500999,114.551003,119.531998,119.531998,90758825
2018-09-04,119.531998,122.519997,110.567001,110.567001,110.567001,56384239
2018-09-05,110.567001,112.558998,94.629402,105.586998,105.586998,93918651
2018-09-06,103.594002,109.570999,101.601997,107.579002,107.579002,43107049
2018-09-07,104.589996,111.563004,104.589996,105.586998,105.586998,47469766
2018-09-10,107.579002,107.579002,104.589996,104.589996,104.589996,19966986
2018-09-11,104.589996,104.589996,104.589996,104.589996,104.589996,0
2018-09-12,106.583000,108.574997,103.594002,105.586998,105.586998,34830263
2018-09-13,104.589996,117.540001,104.589996,114.551003,114.551003,218928580
2018-09-14,115.547997,122.519997,111.563004,113.555000,113.555000,203659018
2018-09-17,113.555000,115.547997,107.579002,109.570999,109.570999,75615054
2018-09-18,109.570999,114.551003,106.583000,112.558998,112.558998,102364496
2018-09-19,114.551003,118.536003,112.558998,112.558998,112.558998,106897879
2018-09-20,113.555000,116.543999,112.558998,113.555000,113.555000,58049937
2018-09-21,114.551003,118.536003,111.563004,113.555000,113.555000,50656698
2018-09-24,113.555000,114.551003,110.567001,110.567001,110.567001,29548460
2018-09-25,111.563004,113.555000,107.579002,110.567001,110.567001,33910576
2018-09-26,112.558998,119.531998,108.574997,114.551003,114.551003,146114854
2018-09-27,115.547997,116.543999,110.567001,112.558998,112.558998,40405912
2018-09-28,112.558998,113.555000,110.567001,112.558998,112.558998,16186840
2018-10-01,111.563004,114.551003,110.567001,111.563004,111.563004,34207635
2018-10-02,111.563004,112.558998,108.574997,108.574997,108.574997,34452389
2018-10-03,108.574997,110.567001,104.589996,106.583000,106.583000,46889704
2018-10-04,105.586998,107.579002,100.606003,102.598000,102.598000,35760191
2018-10-05,102.598000,107.579002,99.609901,105.586998,105.586998,36903450
2018-10-08,106.583000,108.574997,104.589996,104.589996,104.589996,18032741
2018-10-09,105.586998,105.586998,100.606003,101.601997,101.601997,30089973
2018-10-10,102.598000,103.594002,100.606003,102.598000,102.598000,14681468
2018-10-11,101.601997,101.601997,96.621597,97.617699,97.617699,34408819
2018-10-12,99.609901,102.598000,96.621597,99.609901,99.609901,30398878
2018-10-15,100.606003,103.594002,98.613800,99.609901,99.609901,29061561
2018-10-16,99.609901,101.601997,98.613800,98.613800,98.613800,15713394
2018-10-17,99.609901,103.594002,99.609901,101.601997,101.601997,31567536
2018-10-18,101.601997,101.601997,99.609901,99.609901,99.609901,11819003
2018-10-19,99.609901,101.601997,98.613800,98.613800,98.613800,12570534
2018-10-22,99.609901,110.567001,99.609901,104.589996,104.589996,248715772
2018-10-23,104.589996,106.583000,100.606003,101.601997,101.601997,62938707
2018-10-24,101.601997,104.589996,98.613800,99.609901,99.609901,51488442
2018-10-25,99.609901,101.601997,98.613800,100.606003,100.606003,32020704
2018-10-26,100.606003,101.601997,98.613800,100.606003,100.606003,14605171
2018-10-29,100.606003,101.601997,98.613800,98.613800,98.613800,19491330
2018-10-30,99.609901,100.606003,98.613800,98.613800,98.613800,10565312
2018-10-31,99.609901,103.594002,98.613800,100.606003,100.606003,16133934
2018-11-01,100.606003,114.551003,97.617699,99.609901,99.609901,334023534
2018-11-02,99.609901,101.601997,98.613800,98.613800,98.613800,51161266
2018-11-05,99.609901,101.601997,98.613800,98.613800,98.613800,16871210
2018-11-06,99.609901,100.606003,98.613800,99.609901,99.609901,28151210
2018-11-07,99.609901,100.606003,98.613800,98.613800,98.613800,26928039
2018-11-08,99.609901,103.594002,99.609901,100.606003,100.606003,60927562
2018-11-09,101.601997,102.598000,99.609901,100.606003,100.606003,40316463
2018-11-12,101.000000,101.000000,99.000000,99.000000,99.000000,12905200
2018-11-13,99.000000,100.000000,95.000000,97.000000,97.000000,17834600
2018-11-14,97.000000,99.000000,96.000000,96.000000,96.000000,10692900
2018-11-15,97.000000,99.000000,95.000000,97.000000,97.000000,18506500
2018-11-16,97.000000,97.000000,92.000000,94.000000,94.000000,44016100
2018-11-19,94.000000,97.000000,92.000000,92.000000,92.000000,28695200
2018-11-20,92.000000,92.000000,92.000000,92.000000,92.000000,0
2018-11-21,92.000000,92.000000,84.000000,86.000000,86.000000,85853700
2018-11-22,86.000000,87.000000,83.000000,83.000000,83.000000,27115900
2018-11-23,83.000000,89.000000,82.000000,85.000000,85.000000,28111500
2018-11-26,85.000000,92.000000,83.000000,89.000000,89.000000,51491400
2018-11-27,89.000000,96.000000,83.000000,83.000000,83.000000,137636700
2018-11-28,84.000000,84.000000,78.000000,78.000000,78.000000,55372300
2018-11-29,79.000000,85.000000,79.000000,82.000000,82.000000,73444000
2018-11-30,82.000000,87.000000,80.000000,81.000000,81.000000,128734200
2018-12-03,81.000000,86.000000,80.000000,82.000000,82.000000,88314400
2018-12-04,82.000000,84.000000,81.000000,82.000000,82.000000,24384600
2018-12-05,82.000000,82.000000,79.000000,80.000000,80.000000,19407200
2018-12-06,80.000000,81.000000,78.000000,78.000000,78.000000,37741400
2018-12-07,80.000000,84.000000,78.000000,81.000000,81.000000,52583400
2018-12-10,82.000000,82.000000,79.000000,79.000000,79.000000,14445200
2018-12-11,80.000000,80.000000,77.000000,77.000000,77.000000,14477700
2018-12-12,79.000000,79.000000,73.000000,75.000000,75.000000,30965500
2018-12-13,76.000000,78.000000,73.000000,77.000000,77.000000,27534400
2018-12-14,80.000000,85.000000,78.000000,83.000000,83.000000,141980700
2018-12-17,84.000000,88.000000,83.000000,83.000000,83.000000,143365600
2018-12-18,83.000000,84.000000,80.000000,82.000000,82.000000,42623100
2018-12-19,82.000000,84.000000,81.000000,82.000000,82.000000,19411200
2018-12-20,82.000000,82.000000,80.000000,81.000000,81.000000,15280000
2018-12-21,82.000000,82.000000,78.000000,78.000000,78.000000,29885000
2018-12-24,78.000000,78.000000,78.000000,78.000000,78.000000,0
2018-12-25,78.000000,78.000000,78.000000,78.000000,78.000000,0
2018-12-26,77.000000,79.000000,75.000000,76.000000,76.000000,16784200
2018-12-27,77.000000,82.000000,77.000000,79.000000,79.000000,37176600
2018-12-28,79.000000,83.000000,78.000000,78.000000,78.000000,30125900
2018-12-31,78.000000,78.000000,78.000000,78.000000,78.000000,0
2019-01-01,78.000000,78.000000,78.000000,78.000000,78.000000,0
2019-01-02,79.000000,80.000000,77.000000,79.000000,79.000000,26298400
2019-01-03,79.000000,81.000000,78.000000,78.000000,78.000000,13837700
2019-01-04,79.000000,82.000000,78.000000,80.000000,80.000000,40207700
2019-01-07,81.000000,84.000000,80.000000,80.000000,80.000000,41838500
2019-01-08,80.000000,102.000000,80.000000,97.000000,97.000000,569574600
2019-01-09,100.000000,103.000000,93.000000,95.000000,95.000000,238595500
2019-01-10,96.000000,97.000000,88.000000,89.000000,89.000000,142748700
2019-01-11,92.000000,96.000000,89.000000,95.000000,95.000000,107607500
2019-01-14,97.000000,102.000000,96.000000,97.000000,97.000000,154111200
2019-01-15,98.000000,106.000000,96.000000,102.000000,102.000000,269610000
2019-01-16,103.000000,104.000000,99.000000,99.000000,99.000000,90237400
2019-01-17,100.000000,102.000000,98.000000,98.000000,98.000000,49126900
2019-01-18,99.000000,101.000000,97.000000,100.000000,100.000000,55600200
2019-01-21,101.000000,109.000000,101.000000,106.000000,106.000000,223233600
2019-01-22,109.000000,115.000000,104.000000,113.000000,113.000000,273245900
2019-01-23,115.000000,122.000000,113.000000,120.000000,120.000000,370806500
2019-01-24,120.000000,124.000000,113.000000,116.000000,116.000000,164408000
2019-01-25,116.000000,119.000000,114.000000,116.000000,116.000000,59467800
2019-01-28,117.000000,122.000000,116.000000,116.000000,116.000000,99545100
2019-01-29,117.000000,117.000000,114.000000,115.000000,115.000000,39988000
2019-01-30,116.000000,133.000000,115.000000,133.000000,133.000000,348480500
2019-01-31,140.000000,149.000000,134.000000,147.000000,147.000000,422936800
2019-02-01,147.000000,148.000000,135.000000,136.000000,136.000000,186268400
2019-02-04,136.000000,145.000000,136.000000,141.000000,141.000000,121071900
2019-02-05,141.000000,141.000000,141.000000,141.000000,141.000000,0
2019-02-06,142.000000,190.000000,142.000000,188.000000,188.000000,739375500
2019-02-07,188.000000,224.000000,180.000000,186.000000,186.000000,969312800
2019-02-08,186.000000,212.000000,180.000000,212.000000,212.000000,435970800
2019-02-11,218.000000,236.000000,208.000000,210.000000,210.000000,479106800
2019-02-12,212.000000,226.000000,189.000000,208.000000,208.000000,302788600
2019-02-13,212.000000,216.000000,196.000000,199.000000,199.000000,155740600
2019-02-14,200.000000,264.000000,196.000000,264.000000,264.000000,853469900
2019-02-15,264.000000,264.000000,264.000000,264.000000,264.000000,0
2019-02-18,254.000000,314.000000,250.000000,298.000000,298.000000,864182000
2019-02-19,302.000000,324.000000,282.000000,288.000000,288.000000,625066700
2019-02-20,288.000000,306.000000,272.000000,284.000000,284.000000,440308100
2019-02-21,290.000000,300.000000,284.000000,290.000000,290.000000,172816100
2019-02-22,294.000000,294.000000,280.000000,282.000000,282.000000,70985000
2019-02-25,282.000000,314.000000,282.000000,312.000000,312.000000,396956800
2019-02-26,316.000000,334.000000,298.000000,302.000000,302.000000,581258300
